GX,GY,GZ,AX,AY,AZ,timestamp,activity,session_id
7.324,-83.252,18.616,-0.781,0.015,0.413,1746797456.661648,hammering,1
1.526,-22.217,-38.574,-0.698,0.014,0.44,1746797456.661648,hammering,1
15.015,38.208,19.043,-0.971,-0.045,0.291,1746797456.865651,hammering,1
-0.671,2.075,5.188,-0.793,0.063,0.297,1746797456.908185,hammering,1
-20.02,70.679,-53.711,-0.606,-0.201,-2.268,1746797457.149303,hammering,1
15.32,56.824,14.648,-1.256,-0.1,0.151,1746797457.149303,hammering,1
-0.488,-7.568,-12.39,-0.833,0.067,0.255,1746797457.273562,hammering,1
6.958,-5.981,-2.747,-1.273,-0.348,0.47,1746797457.383259,hammering,1
2.38,-7.629,14.221,-0.796,0.019,0.279,1746797457.46586,hammering,1
-1.831,14.465,-45.166,-0.803,-0.099,0.408,1746797457.598909,hammering,1
14.893,105.042,8.118,-0.666,-0.115,0.265,1746797457.679179,hammering,1
-5.188,15.259,-6.775,-0.897,0.056,0.426,1746797457.778656,hammering,1
14.709,1.465,-0.183,-0.856,-0.074,0.63,1746797457.974406,hammering,1
10.071,9.033,7.69,-0.905,0.078,0.35,1746797457.974406,hammering,1
-1.465,22.339,-43.64,-0.794,-0.089,0.346,1746797458.092495,hammering,1
14.832,37.72,17.883,-0.788,-0.092,0.356,1746797458.326288,hammering,1
-0.305,-16.296,5.92,-0.77,0.067,0.371,1746797458.326288,hammering,1
-3.54,-9.827,-40.649,-0.76,-0.169,0.453,1746797458.367751,hammering,1
4.883,-28.931,14.038,-0.89,-0.029,0.27,1746797458.622845,hammering,1
2.258,-27.222,-28.931,-0.868,-0.021,0.544,1746797458.622845,hammering,1
12.329,-6.958,-2.197,-0.717,-0.033,0.15,1746797458.702057,hammering,1
19.714,17.395,26.123,-1.023,0.025,0.437,1746797458.810216,hammering,1
-1.099,-8.789,10.681,-0.848,0.04,0.341,1746797458.884022,hammering,1
2.319,4.944,-1.587,-0.927,-0.021,0.388,1746797459.012738,hammering,1
-1.343,-6.531,-15.198,-0.945,0.006,0.403,1746797459.271492,hammering,1
3.784,-0.427,-4.028,-1.05,-0.1,0.372,1746797459.271492,hammering,1
8.362,-2.869,11.475,-0.985,0.083,0.397,1746797459.417986,hammering,1
-7.812,-6.592,-27.283,-0.787,0.016,0.313,1746797459.519433,hammering,1
15.747,11.719,7.507,-0.87,-0.06,0.501,1746797459.711938,hammering,1
12.451,-2.319,14.526,-0.816,0.047,0.436,1746797459.711938,hammering,1
-10.864,10.803,-40.222,-0.669,0.018,0.421,1746797459.829228,hammering,1
18.555,24.963,14.832,-0.723,-0.083,0.491,1746797460.029074,hammering,1
13.062,4.639,20.325,-0.663,0.069,0.42,1746797460.029074,hammering,1
-22.522,25.391,-58.167,-0.846,-0.095,0.259,1746797460.161549,hammering,1
25.024,37.415,21.362,-0.93,0.002,0.292,1746797460.343883,hammering,1
9.766,17.639,11.292,-0.746,0.052,0.209,1746797460.343883,hammering,1
-24.048,31.067,-64.514,-0.803,-0.1,0.291,1746797460.451061,hammering,1
21.118,75.745,19.531,-0.9,-0.087,0.303,1746797460.531224,hammering,1
5.31,19.287,8.301,-0.788,0.011,0.159,1746797460.646719,hammering,1
-58.35,-3.418,-86.243,0.048,-0.109,-0.672,1746797460.740952,hammering,1
21.606,20.996,26.367,-1.103,-0.143,0.277,1746797460.874472,hammering,1
3.601,-21.973,-0.183,-0.584,0.1,0.24,1746797460.942386,hammering,1
-64.026,8.728,-107.544,-3.334,-2.858,0.735,1746797461.153448,hammering,1
15.808,-12.146,16.907,-0.983,-0.057,0.39,1746797461.153448,hammering,1
-3.845,-25.574,-36.926,-0.691,-0.023,0.469,1746797461.379911,hammering,1
25.452,48.828,11.108,-0.657,-0.005,0.536,1746797461.379911,hammering,1
14.465,19.531,8.911,-0.884,0.038,0.436,1746797463.335358,hammering,1
-47.241,-24.78,-44.495,-1.487,-1.852,1.692,1746797463.419388,hammering,1
15.381,-11.719,20.935,-0.977,-0.103,0.443,1746797463.419388,hammering,1
14.465,-41.565,7.69,-1.724,0.189,0.934,1746797463.436745,hammering,1
0.122,-15.137,-15.808,-0.684,0.048,0.437,1746797463.447242,hammering,1
18.188,41.443,16.296,-0.954,-0.149,0.649,1746797463.447242,hammering,1
-14.648,-6.287,-45.715,-0.741,-0.029,0.38,1746797463.452476,hammering,1
31.433,57.19,15.747,-0.793,0.219,0.383,1746797463.452476,hammering,1
-24.902,10.01,-71.106,-0.496,0.157,-0.191,1746797463.462046,hammering,1
11.597,7.263,4.15,-0.82,0.144,0.3,1746797463.476744,hammering,1
-28.992,-35.828,-38.94,-1.231,-1.458,0.731,1746797463.476744,hammering,1
-5.249,-32.227,-25.085,-0.656,0.043,0.426,1746797463.476744,hammering,1
5.676,1.709,15.869,-0.937,-0.086,0.385,1746797463.514381,hammering,1
-12.451,-19.104,-23.315,-0.741,0.095,0.317,1746797463.608097,hammering,1
16.846,80.811,1.465,-0.806,-0.221,0.202,1746797463.690651,hammering,1
10.986,17.761,10.437,-0.863,0.07,0.341,1746797463.814509,hammering,1
-13.0,13.367,-57.312,-0.774,-0.136,0.254,1746797463.925738,hammering,1
15.259,49.011,16.479,-0.833,-0.089,0.271,1746797464.042293,hammering,1
3.235,25.146,5.92,-0.866,0.076,0.283,1746797464.127456,hammering,1
-15.564,-27.405,-50.659,-0.786,-0.036,0.372,1746797464.284849,hammering,1
